,"Регион","Округ","Кол-во реализуемых направлений государственной молодeжной политики","Суммарное кол-во грантов","Суммарный бюджет грантов, руб","Cуммарное кол-во детских и молодeжных общественных объединений","Средняя численность молодeжи, задействованной в программном мероприятии","Cуммарное кол-во структур","Всего кол-во сотрудников","С профильным образованием всего","Объeм финансирования","Расходы на мероприятия","Расходы на административные функции","Расходы на ремонт","Количество новостей, опубликованных от региона в сфере государственной молодeжной политики","Количество упоминаний регионального органа исполнительной власти","Количество просмотров оф. сайта","Численность подписчиков и участников в соц. сетях","Количество публикаций в соц. сетях","Кол-во пользователей, посетивших оф. сайт","Упоминания в печатных СМИ","Количество статей, опубликованных региональным органом исполнительной власти","Количество статей, опубликованных в печатном издании субъекта","Финансирование информационного освещения","Кол-во упоминаний в ТВ-сюжетах","Кол-во упоминаний в интернет-СМИ","Cуммарное кол-во региональных объединений, ед","Cуммарное число членов региональных объединений","Cуммарное число уч-в мер-й рег. объединений, чел","Cуммарный объeм фин. поддержки региональных объединений","Кол-во школ","Кол-во СПО","Кол-во вузов","Число учащихся школ","Число учащихся СПО","Число учащихся вузов","Cуммарное кол-во органов самоуправления","Суммарный объем финанс-я ОМСУ","Cуммарный объем финанс-я УССУ","Кол-во форумов, прошедших на территории субъекта","Численность участников форумов","Объeм регионального финансирования","Кол-во госуд. учр. на территории субъекта, работающих с добровольцами (волонтерами)","Число граждан, вовлеченных в добровольческую деятельность на тер. субъекта","Число граждан, вовлеченных центрами поддержки добровольчества на базе образовательных организаций","Кол-во региональных ресурсных центров поддержки добровольчества на тер. субъекта"
0,Забайкальский край,ДФО,1,10,14667755,954,22001,76,288,34,138141800,4260000,133881800,0,12,635,3308410,104200,800,661850,250,15,25,0,25,360,12,7067,67003,154000,556,25,6,50700,19700,4500,561,100000,0,8,1176,7560000,432,4200,42003,1
1,Алтайский край,СФО,15,70,3396959,4194,27766,166,412,68,265435802,148007702,115142056,2286044,16,169,171600,4801,2525,35000,48,23,48,1006370,34,87,73,14820,21380,3102000,682,470,8,248319,13223,3800,1083,147028,0,56,9526,59558384,1572,19788,158184,2
2,Санкт-Петербург,СЗФО,0,1225,1295756424,3733,143298,102,8980,4064,8232959198,1564790406,5914026710,754142082,90,6602,344932,43520,5561,12375112,1577,143,411650,6551727,1040,3985,9,1820,231135,243400,1857,20,43,36837,12354,22383,763,0,0,48,1949068,216594122,383,13972,163200,5
3,Республика Карелия,СЗФО,16,43,50855477,316,4943,66,292,138,35878378,7732940,8202838,19942600,72,1406,32000,7181,503,5730,117,33,5,200000,64,1225,13,72,8712,0,197,2,44,13236,400,1238,49,5000,0,18,13050,1385330,62,6231,36300,1
4,Ульяновская область,ПФО,3,9,8778700,709,9968,504,1322,1260,137880614,98239700,39000914,640000,10,177,5371,8730,3642,1509,7,0,0,0,54,116,19,1454,14176,0,1493,76,18,42674,4070,3550,210,0,0,60,6736,0,579,2401,28210,26
5,Республика Марий Эл,ПФО,5,33,1273640,1414,21817,40,254,132,175733346,66736590,89031750,19965006,13,2052,224488,29992,4944,78645,483,130,461,1021865,145,1424,30,37042,128990,850000,275,121,64,30962,8221,4101,377,16000,856688,30,3196,450400,119,37250,88080,1
6,Республика Саха (Якутия),ДФО,0,43,50246441,3420,15135,364,940,260,537720144,227164228,310327468,228448,3302,4120,100000,4795,500,310282,1000,15,22,150000,120,3000,173,14672,539852,22270000,1775,12,27,55927,17896,6584,105,205000,50000,18,4500,5102046,718,30500,67669,1
7,Чукотский автономный округ,ДФО,1,29,74598455,38,171,16,20,8,310003000,278013800,31989200,0,1,1088,9690,996,1157,2430,14,12,14,46137,2,1072,8,370,516,1699000,19,4,0,950,243,0,38,0,0,2,60,6427984,6,403,1452,1
8,Орловская область,ЦФО,1,6,1811500,1790,21561,56,188,86,62971840,47827540,15144300,0,0,945,0,19662,1758,0,147,0,62,0,48,750,22,44520,120021,4095912,780,65,81,42253,7241,2211,446,14300,14679371,74,6128,1410190,242,6916,38483,2
9,Тамбовская область,ЦФО,11,284,54894456,18363,35536,74,308,104,144190232,53593792,84108776,6487664,181,10250,17020,6068,1209,3711,4120,25,270,0,1580,4550,135,133596,145453,731918,2387,25,15,75556,13811,16900,484,29300,600000,158,5910,1320000,506,20415,84502,1
